floor,point_id,ssid,bssid,rssi_dbm,channel,width_mhz,band,security_string
Second,41,Plainsboro-Public-Library,8a:15:14:51:e6:20,-54.0,149,20,5GHz,[ESS][Unknown]
Second,41,[Hidden],8a:15:04:53:33:9f,-57.0,6,20,2.4GHz,[WEP][ESS][WEP]
Second,41,Plainsboro-Public-Library,8a:15:04:53:3c:30,-61.0,11,20,2.4GHz,[ESS][Unknown]
Second,41,[Hidden],8a:15:04:52:23:cf,-61.0,6,20,2.4GHz,[WEP][ESS][WEP]
Second,41,Plainsboro-Public-Library,8a:15:04:52:23:c0,-62.0,6,20,2.4GHz,[ESS][Unknown]
Second,41,[Hidden],8a:15:04:53:3c:3f,-63.0,11,20,2.4GHz,[WEP][ESS][WEP]
Second,41,Plainsboro-Public-Library,8a:15:04:53:49:70,-64.0,6,20,2.4GHz,[ESS][Unknown]
Second,41,Plainsboro-Public-Library,8a:15:04:53:33:90,-65.0,6,20,2.4GHz,[ESS][Unknown]
Second,41,Plainsboro-Public-Library,8a:15:14:53:33:90,-65.0,36,80,5GHz,[ESS][Unknown]
Second,41,[Hidden],8a:15:14:53:33:9f,-66.0,36,80,5GHz,[WEP][ESS][WEP]
Second,41,[Hidden],8a:15:04:53:49:7f,-69.0,6,20,2.4GHz,[WEP][ESS][WEP]
Second,41,[Hidden],8a:15:14:53:49:7f,-71.0,157,40,5GHz,[WEP][ESS][WEP]
Second,41,Plainsboro-Public-Library,8a:15:14:53:49:70,-71.0,157,40,5GHz,[ESS][Unknown]
Second,41,Plainsboro-Public-Library,8a:15:14:53:3c:30,-74.0,108,80,5GHz,[ESS][Unknown]
Second,41,Plainsboro-Public-Library,8a:15:04:53:49:40,-74.0,6,20,2.4GHz,[ESS][Unknown]
Second,41,[Hidden],8a:15:14:53:3c:3f,-76.0,108,80,5GHz,[WEP][ESS][WEP]
Second,41,Plainsboro-Public-Library,8a:15:14:52:23:c0,-76.0,153,20,5GHz,[ESS][Unknown]
Second,41,Verizon_44LJJS,78:67:0e:a4:12:bb,-79.0,11,40,2.4GHz,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS][WPA2 Personal]
Second,41,Plainsboro-Public-Library,e2:55:7d:bc:13:60,-79.0,6,20,2.4GHz,[ESS][Unknown]
